nb_mesure, nb_threads, nb_threads_lect, nb_threads_ecri, time
1,2,1,1,0:00.06
2,2,1,1,0:00.06
3,2,1,1,0:00.06
4,2,1,1,0:00.05
5,2,1,1,0:00.04
1,4,2,2,0:00.03
2,4,2,2,0:00.03
3,4,2,2,0:00.03
4,4,2,2,0:00.02
5,4,2,2,0:00.02
1,8,4,4,0:00.02
2,8,4,4,0:00.02
3,8,4,4,0:00.02
4,8,4,4,0:00.02
5,8,4,4,0:00.02
1,16,8,8,0:00.02
2,16,8,8,0:00.03
3,16,8,8,0:00.02
4,16,8,8,0:00.02
5,16,8,8,0:00.02
1,32,16,16,0:00.02
2,32,16,16,0:00.02
3,32,16,16,0:00.02
4,32,16,16,0:00.02
5,32,16,16,0:00.02
1,64,32,32,0:00.02
2,64,32,32,0:00.02
3,64,32,32,0:00.02
4,64,32,32,0:00.02
5,64,32,32,0:00.02
